x,y,z
-10.4609,-18.5532,8
-12.1206,-3.47246,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.6968,-12.4755,8
-12.0945,-5.52561,7
-11.7859,-12.3711,28
-11.8793,-8.37099,8
-11.6775,-12.4937,17
12.0848,-1.2922,5
12.078,-1.05118,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.078,-1.05118,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.078,-1.05118,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.078,-1.05118,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.078,-1.05118,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.078,-1.05118,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.0744,-1.04518,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.0744,-1.04518,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.0744,-1.04518,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1107,-4.18807,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.0744,-1.04518,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1174,-4.29678,7
10.5498,-17.5988,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0848,-1.2922,5
12.0744,-1.04518,7
-6.79818,-18.4196,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1174,-4.29678,7
6.78542,-17.7197,9
10.5498,-17.5988,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.7462,-12.4198,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0644,-1.10393,8
12.0848,-1.2922,5
12.0744,-1.04518,7
-6.7919,-18.4301,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1174,-4.29678,7
10.7256,-17.5465,8
6.78542,-17.7197,9
10.5498,-17.5988,9
12.0441,-18.4706,10
-11.7194,-10.6647,8
-11.7018,-12.454,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0644,-1.10393,8
12.0848,-1.2922,5
12.0744,-1.04518,7
-6.7919,-18.4301,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1174,-4.29678,7
10.7256,-17.5465,8
6.78542,-17.7197,9
10.5498,-17.5988,9
12.0441,-18.4706,10
-11.7194,-10.6647,8
-11.7018,-12.454,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0644,-1.10393,8
12.0848,-1.2922,5
12.0744,-1.04518,7
-6.7919,-18.4301,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
